HTS CODE	DESCRIPTION	BASE DUTY RATE
2822.00.00	Cobalt oxides and hydroxides; commercial cobalt oxides	0.10%
2840.19.00.00	Other	0.10%
3807.00.00.00	"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch"	0.10%
9902.02.81	t-Butyl acrylate (2-methyl-2-propanyl acrylate) (CAS No. 1663-39-4) (provided for in subheading 2916.12.50)	0.10%
9902.10.48	"Mixtures containing 88 percent or more by weight of poly[oxy(dimethylsilanediyl)] bis[omega-butoxypoly(oxypropylene)] ether (CAS No. 67762-96-3), 8 percent or less by weight ?-butyl-?-hydroxylpoly(oxypropylene) (CAS No. 9003-13-8) and less than 4 percent by weight silica dimethylsilylate (CAS No. 68611-44-9) (provided for in subheading 3824.90.92)"	0.10%
9902.14.71	"Catalytic converter needled blanket mats of ceramic fibers, containing over 65 percent by weight of aluminum oxide and not over 3 percent by weight of acrylic latex organic binder, of a basis weight less than 1745 g/m2, measuring 5.0 mm or more but not over 9.9 mm in thickness; presented in bulk, sheets or rolls, designed for use in motor vehicles of heading 8703 (provided for in subheading 6806.10.00)."	0.10%
9902.14.78	"Tempered glass covers for cooking ware, such covers produced by automatic machine (provided for in subheading 7010.20.20)"	0.10%
9902.15.70	"Flexographic printing machinery, having continuous roll feed, designed for printing on paperboard (whether or not such paperboard is coated), having a printing speed of 599 m/minute or more but not more than 801 m/minute and a print width of 106 cm or more but not more than 178 cm (provided for in subheading 8443.16.00)"	0.10%
3403.11.20.00	Containing 50 percent or more by weight of petroleum oils or of oils obtained from bituminous minerals	0.20%
3403.19.10.00	Containing 50 percent or more by weight of petroleum oils or of oils obtained from bituminous minerals	0.20%
3603.40.00.00	Detonating caps	0.20%
3603.50.00.00	Igniters	0.20%
3603.60.00.00	Electric detonators	0.20%
9902.02.45	Glyoxal (CAS No. 107-22-2) (provided for in subheading 2912.19.30)	0.20%
9902.02.54	3-Pentanone (Diethyl ketone) (CAS No. 96-22-0) (provided for in subheading 2914.19.00)	0.20%
9902.06.84	"1-(2-Fluorophenyl)-1-(4-fluorophenyl)-2-(1H-1,2,4- triazol-1-yl)ethanol (Flutriafol) (CAS no. 76674-21-0) (provided for in subheading 2933.99.22)"	0.20%
9902.12.08	Adjustable squeeze-trigger bar clamps of plastics (provided for in subheading 3926.90.99)	0.20%
9902.14.14	"Footwear for women, with outer soles and uppers of rubber or plastics (except vulcanized footwear and footwear with waterproof molded bottoms or vulcanized bottoms, including bottoms comprising an outer sole and all or part of the upper, and except footwear designed to be protective that is incomplete in its condition as imported), not covering the ankle or having a protective metal-toe cap, valued over $25/pair, designed to be worn in lieu of, but not over, other footwear as a protection against water, oil, grease or chemicals or cold or inclement weather where such protection includes protection against water that is imparted by the use of a laminated textile fabric (provided for in subheading 6402.99.33)"	0.20%
2840.11.00.00	Anhydrous	0.30%
9902.09.49	Product mixtures containing N-[2-[3-chloro-5-(trifluoromethyl) pyridin-2-yl]ethyl]-2-(trifluoromethyl) benzamide (Fluopyram) (CAS No. 658066-35-4) and Bacillus firmus (Strain I-1582) (provided for in subheading 3808.92.15)	0.30%
9902.11.14	"Mixtures of approximately 20 percent or less diphosphoric acid, polymers with ethoxylated reduced methyl esters of reduced polymerized oxidized tetrafluoroethylene (CAS No. 200013-65-6) and less than 10 percent 2-(2-methoxypropoxy)-1-propanol (CAS No. 34590-94-8), remaining content is water (provided for in subheading 3907.20.00)"	0.30%
9902.16.10	"AC electric motors, single-phase, of an output exceeding 50 W but not exceeding 74.6 W, each equipped with a capacitor and a three-speed control switch (provided for in subheading 8501.40.20)"	0.30%
9902.16.31	"Electromechanical knives, each with self-contained electric motor (provided for in subheading 8509.80.50), the foregoing only if valued either less than $8 or more than $40 each"	0.30%
2833.11.50	Other	0.40%
5102.19.60	Other	0.40%
8607.19.03.00	Axles	0.40%
8607.19.06.00	Parts of axles	0.40%
9902.04.30	"3-(3,4-Dichlorophenyl)-1,1-dimethylurea (Diuron) (CAS No. 330-54-1) (provided for in subheading 2924.21.16)"	0.40%
9902.07.57	"2-(2-Chloroethoxy)-N-[(4-methoxy-6-methyl-1,3,5-triazin-2- yl)carbamoyl]benzenesulfonamide (Triasulfuron) (CAS No. 82097-50-5) (provided for in subheading 2935.90.75)"	0.40%
9902.15.44	"Connecting rods designed for use in compression-ignition internal combustion piston engines (diesel or semi-diesel engines) for vehicles of subheading 8701.20 or heading 8702, 8703, or 8704, each rod measuring at least 20 cm but not exceeding 120 cm in length, at least 10 cm but not exceeding 60 cm in width, and at least 5 cm but not exceeding 90 cm in height (provided for in subheading 8409.99.91)"	0.40%
9902.16.38	Used electric starter motors for spark ignition or compression ignition internal combustion engines (provided for in subheading 8511.40.00)	0.40%
9902.16.65	"Electrothermic automatic drip coffee makers of a kind used for domestic purposes, each with electronic clock and self-contained coffee holding chamber, the foregoing designed to be used without separate carafe (provided for in subheading 8516.71.00); the foregoing excluding coffee makers (i) designed for permanent installation in a wall, cabinet or shelf, (ii) with removable tank with a handle or (iii) with loading lever containing both stainless steel and plastics"	0.40%
9902.16.79	"Electrothermic pressure cookers of a kind used for domestic purposes, each with a capacity of less than 5 liters and rated from 800 W to 1000 W (provided for in subheading 8516.79.00)"	0.40%
9902.17.71	"Lawn-tennis rackets, unstrung (provided for in subheading 9506.51.40)"	0.40%
0305.64.50.00	Other	0.50%
0305.69.60.01	Other	0.50%
1104.22.00.00	Of oats	0.50%
2836.99.40.00	Lead carbonates	0.50%
2849.20.20.00	"In grains, or ground, pulverized or refined"	0.50%
6211.39.07	Containing 70 percent or more by weight of silk or silk waste	0.50%
6211.39.60	Containing 70 percent or more by weight of silk or silk waste	0.50%
9902.04.04	4-Chlorophenylglycine (CAS No. 6212-33-5) (provided for in subheading 2922.49.30)	0.50%
9902.10.46	"Lauryl-cetyl alcohol (alcohol, C12-C16) (CAS No. 68855-56-1) (provided for in subheading 3823.70.40)"	0.50%
9902.11.94	Plastic cap for sport water bottle of the squeezable type (provided for in 3923.50.00)	0.50%
9902.11.99	"Plastic ornamentation designed for aquariums that house fish, reptiles or small pets (provided for in subheading 3924.90.56)"	0.50%
9902.15.51	"New fuel pumps for compression-ignition engines, other than fuel-injection pumps, such pumps measuring 2 cm or more but not over 163 cm in length, 2 cm or more but less than 127 cm in width and 2 cm or more but less than 95 cm in height (provided for in subheading 8413.30.90)"	0.50%
9902.15.91	"Valve-type fuel injectors, each functional in a common rail fuel system with a pressure greater than 120 Mpa (1200 bar) (provided for in subheading 8481.80.90), the foregoing other than used goods"	0.50%
9902.16.47	"Microwave ovens with integral range hoods, of a kind used for domestic purposes, each having oven capacity greater than 48 liters but not exceeding 49 liters, the foregoing containing a glass turntable plate with a diameter greater than 30 cm but not exceeding 31 cm and with a door having an exterior molded plastic handle (provided for in subheading 8516.50.00)"	0.50%
9902.16.92	"Ultraviolet lamps filled with deuterium gas, each without radio-frequency identification device and valued over $300 (provided for in subheading 8539.49.00)"	0.50%
2833.27.00.00	Of barium	0.60%
6108.39.40.00	Containing 70 percent or more by weight of silk or silk waste (751)	0.60%
6108.99.50	Containing 70 percent or more by weight of silk or silk waste	0.60%
9902.06.01	2-Chloro-6-(trichloromethyl)pyridine (CAS No. 1929-82-4) (provided for in subheading 2933.39.27)	0.60%
9902.06.41	"2,2'-Disulfanediylbis(5-ethoxy-7-fluoro[1,2,4]tri- azolo[1,5-c]pyrimidine) (CAS No. 166524-75-0) (provided for in subheading 2933.59.70)"	0.60%
9902.15.42	"Engine blocks, each weighing over 272 kg but not over 317 kg, for compression-ignition internal combustion piston engines (diesel or semi-diesel engines) having a cylinder capacity of approximately 12.4 liters for vehicles of subheading 8701.20 (provided for in subheading 8409.99.91)"	0.60%
9902.15.50	"Used fuel, lubricating or cooling medium pumps designed for internal combustion piston engines (provided for in subheading 8413.30.10 or 8413.30.90)"	0.60%
9902.15.96	"New crankshafts of forged steel designed for use solely or principally with compression-ignition internal combustion piston engines, other than for vehicles of chapter 87, each measuring more than 1.86 m in length and weighing 453 kg or more (provided for in subheading 8483.10.30)"	0.60%
6211.20.04	"Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless   jackets) imported as parts of suits"	0.70%
6912.00.10.00	"Of coarse-grained earthenware, or of coarse- grained stoneware; of fine-grained earthenware, whether or not decorated, having a reddish-colored body and a lustrous glaze which, on teapots, may be any color, but which, on other articles, must be mottled, streaked or solidly colored brown to black with metallic oxide or salt"	0.70%
9902.01.21	"Sodium, containing not more than 200 ppm of calcium (CAS No. 7440-23-5) (provided for in subheading 2805.11.00)"	0.70%
9902.03.37	Tris(2-ethylhexyl) phosphate (CAS No. 78-42-2) (provided for in subheading 2919.90.50)	0.70%
9902.10.24	Mixtures containing poly(ethylene-co-ethenyl acetate) of a kind used as fuel additives (CAS No. 24937-78-8) (provided for in subheading 3811.90.00)	0.70%
9902.16.17	"Stator core and rotor core laminations, imported in pairs each comprising one stator core lamination and one rotor core lamination; with such stator core laminations having an exterior diameter of 26.42 cm and an inner diameter of 20.35 cm, weighing 4.14 kg or more but not over 6.72 kg; such rotor core laminations having an exterior diameter of 20.2 cm and an inner diameter of 14.0 cm, weighing 3.3 kg or more but not over 5.3 kg; the foregoing certified by the importer as designed to be used in the manufacture of generator motors for charging the battery of hybrid vehicles and of electric motors for propulsion of hybrid vehicles (provided for in subheading 8503.00.95)"	0.70%
9902.16.63	"Electrothermic espresso makers of a kind used for domestic purposes, each with hydraulically activated ""shower head"" spray with automatic tamping and retraction functionality and magnetic locking drawer style filter, the foregoing without bayonet locking tabs (provided for in subheading 8516.71.00)"	0.70%
0805.50.30	"Tahitian limes, Persian limes and other limes of the <i>Citrus latifolia</i> variety"	0.80%
0805.90.01.00	"Other, including kumquats, citrons and bergamots"	0.80%
2008.99.15.00	Other	0.80%
5007.10.30	Containing 85 percent or more by weight of silk or silk waste	0.80%
5007.90.30	Containing 85 percent or more by weight of silk or silk waste	0.80%
6107.99.50	Containing 70 percent or more by weight of silk or silk waste	0.80%
6216.00.08.00	"Other gloves, mittens and mitts, all the foregoing specially designed for use in sports, including   ski and snowmobile gloves, mittens and mitts"	0.80%
9022.90.05.00	Radiation generator units	0.80%
9022.90.25.00	Other apparatus	0.80%
9902.02.02	Methanesulfonic acid (CAS No. 75-75-2) (provided for in subheading 2904.10.50)	0.80%
9902.02.35	"2-Chloro-?,?,?-trifluoro-p-tolyl-3-ethoxy-4-nitrophenyl ether (Oxyfluorfen) (CAS No. 42874-03-3) (provided for in subheading 2909.30.30)"	0.80%
9902.09.31	Mixtures of (E)-N1-[(6-chloro-3-pyridyl)methyl]-N2-cyano-N1-methyl-acetamidine (Acetamiprid) (CAS No. 135410-20-7) and application adjuvants (provided for in subheading 3808.91.25)	0.80%
9902.15.62	"Air conditioning machines, incorporating a refrigerating unit, mounted on wheels or castors, exceeding 17.58 kW per hour (provided for in 8415.82.01)"	0.80%
9902.17.84	"Speed bags, free standing heavy bags, heavy bag stands of steel, speed bags with inflatable balls and heavy bag shells (provided for in subheading 9506.91.00)"	0.80%
2008.91.00.00	Palm hearts	0.90%
6101.90.10.00	Containing 70 percent or more by weight of silk or silk waste (734)	0.90%
6102.90.10.00	Containing 70 percent or more by weight of silk or silk waste (735)	0.90%
6103.10.70.00	Containing 70 percent or more by weight of silk or silk waste (743)	0.90%
6103.39.40.00	Containing 70 percent or more by weight of silk or silk waste (733)	0.90%
6103.49.40	Containing 70 percent or more by weight of silk or silk waste	0.90%
6104.19.40.00	Containing 70 percent or more by weight of silk or silk waste (744)	0.90%
6104.49.10.00	Containing 70 percent or more by weight of silk or silk waste (736)	0.90%
